Sol_Index,RadViz_X,RadViz_Y,Obj_Corner_BGA_DeltaW,Obj_Corner_Bump_DeltaW,Obj_Corner_C4_DeltaW,Obj_Theta_JA, Interposer CTE,Bulk silicon thickness,Bump copper height,Bump pitch,Bump solder height,Heatsink Thermal resistance,Interposer thickness,PCB CTE,PCB k_z,PCB thickness,Substrate core CTE,Substrate core thickness,TIM1 k,TIM1 thk,UF flipchip CTE,UF interposer CTE,interposer k_z,BGA solder,Bump solder,C4 solder
0,-0.30262891091365024,-0.05860926062556379,0.017205804959230582,0.08080628997460026,0.0828572098830147,4.2312459286192095,4.44285423845289e-06,0.3281885885681251,0.04136054919885787,0.1450999769922105,0.05999679828273001,0.8237740565260855,0.29064783075999745,1.6019701103229435e-05,0.5389680189777504,2.009347058272797,3.737052001917198e-06,0.7328594425017725,28.99634187854651,0.18368430795467708,2.1427047935752457e-05,2.043739383748828e-05,116.6536533030756,SAC105,SAC305,SAC305
1,0.15794108341076002,0.05809145455719874,0.0033475255524226836,0.031016865063458667,0.1726914480802758,6.179080670236517,4.4483483503249495e-06,0.729657973105415,0.0435122237499797,0.1197484529098738,0.05949456724182106,0.8135151543130711,0.2708980443406766,1.624211912554191e-05,0.5860975124583471,0.9528092187933679,8.927528758143899e-06,0.7229788679211554,28.155136398497188,0.20049772058370824,2.1640480358815312e-05,2.870942546985007e-05,46.371084081684934,SAC105,SAC405,SAC305
2,0.3566883891854129,-0.07243028005541345,0.000835213513442465,0.09519065316393976,0.2479074882529676,4.211549847399215,4.425413390603544e-06,0.33126332498862954,0.043776144240034724,0.14620536103924114,0.05520046600449915,0.8364780134696804,0.29118776814867864,1.4234964635561765e-05,0.6247666440968811,2.4037940314922412,8.731092389600136e-06,0.6543905371794084,26.502768064567945,0.16601953770717973,2.150941832174433e-05,2.991762603775801e-05,52.67090513590056,SAC205,SAC405,SAC305
3,0.1010515952763868,-0.13542118865153766,0.0007444013483435055,0.17428831986184895,0.10782860481992099,4.443278092672003,4.754178097718337e-06,0.297291461418695,0.0571271073514505,0.12095526304922177,0.05489847533652145,0.812056314764437,0.2807770901240733,1.596879835205786e-05,0.5471640571292423,1.0221776876585134,8.832761267923378e-06,0.6391809199422984,26.934316786086384,0.1882418439441622,2.793739496869348e-05,2.3977410194673754e-05,55.58175365392977,SAC305,SAC105,SAC405
4,0.09640106117377034,0.35524843042320375,0.0015732524516201521,0.05919025079977544,0.1024879483680907,15.509879788123591,4.442969057901922e-06,0.6738738507759806,0.04158158436088767,0.11919448542364693,0.0586334613158201,1.8484900026851458,0.2813046520084231,1.611252665629034e-05,0.6572573822048666,0.8142848357153933,5.449360736139313e-06,0.6057503582099033,6.551046065267726,0.1736880510902233,2.162976491858047e-05,2.0381614014310167e-05,112.8320280117361,SAC405,SAC105,SAC305
5,0.29040233281267336,-0.4259179702380673,0.0007580281686195094,0.34534381818771315,0.18004643589258193,4.361328491390687,4.51755210000245e-06,0.295257894980709,0.058007109123887075,0.12232461334150081,0.05536472706207327,0.8813754923787223,0.10941014113627502,1.5496386310748573e-05,0.5628625651343793,2.329140134137818,8.559410284106421e-06,0.6436002619933318,29.98453075489917,0.1567548456647135,2.781330159414106e-05,2.9629487591241665e-05,51.37722247876459,SAC305,SAC405,SAC405
6,-0.23791265653483637,-0.16734659111456018,0.011714695992862609,0.18836909689112666,0.040936660074628754,4.5469587257225825,4.810285582154319e-06,0.2774051045565145,0.05865813836594398,0.12172906472222192,0.059326126196703015,0.8276250288027686,0.12059176150600007,1.6564424525366472e-05,0.5266099333681832,1.0157459959374153,4.077714177065041e-06,0.7252398373368252,25.97377778666685,0.16883576208621576,2.3876241429579043e-05,2.1783530519036743e-05,77.87354494482982,SAC105,SAC105,SAC305
7,-0.08090266382767329,-0.06446633070215697,0.014757746873365247,0.07834881486184914,0.17801565781235706,4.18641645193464,4.472917166651958e-06,0.255025192492734,0.057957510061794684,0.1425766790486789,0.059693266292463895,0.7574045961803766,0.29555453789839564,1.6629167622254706e-05,0.5312047999031974,2.278230369167784,3.257514573078955e-06,0.40262970670787845,29.69038619318019,0.15740367475902683,2.150594168885436e-05,2.942413920823124e-05,50.01998428244082,SAC105,SAC305,SAC305
8,-0.04887681745747937,0.012125941565838768,0.004659343188903848,0.10663372499868283,0.05819966762427527,7.344273159669724,4.473154085277722e-06,0.33238709901531716,0.041179616481972194,0.12061129822077601,0.05539538273849109,1.93681253344237,0.13918237179081913,1.617321130710522e-05,0.975140980769026,0.957068921355507,3.2775094188644725e-06,0.7287494781174177,28.812312955477218,0.161171028517973,2.163027527174844e-05,2.0656732254683694e-05,50.01658716593887,SAC305,SAC405,SAC305
9,-0.1377388180139379,0.12821414401381517,0.010416527982069976,0.062129921359603685,0.0869374910598906,9.15773870541574,4.445402969083721e-06,0.3803850687164656,0.04750990971016965,0.11969136788867589,0.0583239708855404,2.057236140927335,0.29031725373673145,1.605665031885745e-05,0.6748516713583375,0.8163255981744503,4.399309629485324e-06,0.5913130628963904,27.84718222981731,0.21482454117204072,2.1632989592968597e-05,2.0844313336472334e-05,169.96171460466533,SAC105,SAC405,SAC405
10,0.1958825024138811,0.2508990868077889,0.0032054266789204987,0.03494135598403713,0.1748895427809717,11.546406022322985,4.4445908392781835e-06,0.6987867978864156,0.04426432917477813,0.14327697620540475,0.05803041108514105,0.8989076945300609,0.2887749498110975,1.664892153259865e-05,0.9773402699872218,0.8217058601467362,8.55748767406761e-06,0.646677984059683,6.182466287968385,0.1658363382920996,2.148908288194793e-05,2.7961501005446252e-05,49.06037742758812,SAC105,SAC405,SAC305
11,-0.17679027329400981,-0.0637205597749497,0.008557873088221575,0.2216482584923506,0.05063803615397754,9.307902182618244,4.91371664050949e-06,0.3364852433108863,0.05813179832219755,0.11812943130426093,0.05919527984162427,1.5352671744499529,0.14319430037122005,1.5334132352862678e-05,0.5422800177622009,0.9392118319116675,4.1942048367843514e-06,0.7154708296284571,5.227477443241897,0.17380805898133833,2.7723533313457817e-05,2.010202781159489e-05,51.553037660728336,SAC105,SAC405,SAC305
12,0.0919682977303652,0.331873589280043,0.002569109203750451,0.053153798705432465,0.11250648165295889,14.584246375704272,4.448664542458944e-06,0.6871633076540725,0.04394569463979871,0.11217177916600729,0.058659597916456994,0.8389898249575849,0.29118060928025924,1.6547939223250883e-05,0.6884494874296799,0.9563702248622716,5.3595841022556215e-06,0.44102301669811206,6.3948013693775865,0.1987111451449888,2.22565318205555e-05,2.133440017714357e-05,171.8203620718342,SAC205,SAC405,SAC305
13,0.3373797604045922,0.1168809309153174,0.0007969353993451814,0.0932768379710617,0.21433323734439902,9.703292595547824,4.425646216633039e-06,0.31853064868091263,0.0567937414831309,0.12064079374750358,0.0587626485261402,1.977651295731408,0.28991165623801435,1.427188273844609e-05,0.6220194393358185,2.310105043746231,8.676605776274405e-06,0.7926645457128413,28.578915828482533,0.16645793222331745,2.1521055355979403e-05,2.997652121125491e-05,171.59423234293382,SAC305,SAC105,SAC305
14,-0.0627148551282801,-0.20055571186646667,0.004790102889368453,0.23429412160068755,0.052777578096848445,4.681432874521792,4.384401819385743e-06,0.3545743949662042,0.05668935228363037,0.12867190396167025,0.049918950558522336,1.0844600102014383,0.13721830977962035,1.605800617981956e-05,0.5599233248005568,1.6270346929285728,3.882511485736527e-06,0.7550927002793029,8.888573353243721,0.196516960997595,2.8824508690238496e-05,2.150974816919861e-05,52.098403637976034,SAC305,SAC405,SAC405
15,-0.0633798726656558,0.4995882844959543,0.0109421819040108,0.04789554051682347,0.14491726215346712,15.246750623652094,4.44277970018242e-06,0.7136078797426073,0.05789817641935434,0.11982926948563304,0.05854827815273893,1.8341374793045695,0.29543381551552056,1.6238037784958247e-05,0.9684640763876123,0.8107651402348824,4.040262405654244e-06,0.6057269827152783,6.7068107765560745,0.1848537165925256,2.1629907208093976e-05,2.802930883780433e-05,174.94369574499046,SAC105,SAC405,SAC305
16,-0.1446296525055347,0.00879019888262776,0.007313667066038718,0.193550989318432,0.04844504263120065,10.291300676037649,4.688535762387397e-06,0.6887339872110373,0.05865813836594398,0.12172906472222192,0.059326126196703015,0.8343012374840713,0.12059176150600007,1.6564424525366472e-05,0.5266099333681832,1.017771526452729,4.077714177065041e-06,0.7903824618360733,6.245300619187235,0.1671316119827088,2.4020958365864563e-05,2.1783530519036743e-05,174.0562142701034,SAC205,SAC105,SAC305
17,0.07657613432398461,0.30533741120717184,0.002608371971640659,0.0600101529471575,0.10553506101724608,14.210518604618725,4.450812249952966e-06,0.6871633076540725,0.0435704719699396,0.11217177916600729,0.058659597916456994,0.8389898249575849,0.2896166552396481,1.654691005547917e-05,0.5649788321678413,0.9563702248622716,5.363384098168701e-06,0.43263188077773435,6.3948013693775865,0.1987111451449888,2.22565318205555e-05,2.133325096389272e-05,167.04581990924908,SAC205,SAC405,SAC405
18,0.3181318645138406,-0.13651077259729383,0.0007746823085245842,0.15050643552870796,0.22164031594060352,4.257647858340108,4.425646216633039e-06,0.31853064868091263,0.05871135183259492,0.11862806519924642,0.049176353900707175,0.8236574462452236,0.28991165623801435,1.4254677768362414e-05,0.622682366188253,2.4117152679298375,8.732212725391866e-06,0.7586897683465386,28.37357369468653,0.16669496625314126,2.893693302802665e-05,2.997652121125491e-05,58.079210378196535,SAC305,SAC105,SAC305
19,-0.03387948849555157,0.06166768478974368,0.010949871938400994,0.04392575397420052,0.15098086463403879,6.470874701731692,4.4508398466148194e-06,0.673891826614927,0.041583766449136646,0.14069884034424684,0.05862935609495811,0.8266228721088513,0.28204348708254606,1.6547713200021643e-05,0.5328658761264371,0.8208272412306813,3.2050454163077637e-06,0.45406371688440655,25.99675421625412,0.16324875949821474,2.2241976912633263e-05,2.89493999147508e-05,81.77462974067029,SAC105,SAC405,SAC405
20,0.0414310414294285,0.20493706851950702,0.00361128606883355,0.06516393414785623,0.10061105406929309,11.811037850358924,4.4284358628168274e-06,0.7472043630093325,0.04420751700805172,0.11429816189890583,0.058587679782007296,0.7589998261495831,0.15366481248902683,1.656427095989993e-05,0.6787102303980123,0.9780851936599306,5.413042014701564e-06,0.7459335506326876,5.441121407840797,0.17384360497227216,2.2305819382771717e-05,2.115399308471196e-05,112.9579391864213,SAC105,SAC205,SAC305
21,-0.049871857063886166,0.008057554383521227,0.01146743886079095,0.050968580519425745,0.14807062220294015,5.149907548539416,4.489584834152342e-06,0.28988615763473746,0.04496867235751846,0.14328792563001702,0.05784718868279256,0.8928401041456622,0.2598595711542238,1.664867299930391e-05,0.9834404267127094,0.8437836117915984,3.881762373186243e-06,0.650123086035482,29.11669907811605,0.16733683515805037,2.192653820076936e-05,2.7986599856286933e-05,49.06989010083139,SAC105,SAC405,SAC305
22,0.0060791918264964965,-0.26768131777015325,0.001113478846482335,0.3197534884822865,0.04918611124467221,5.893800009789668,4.9092898306057585e-06,0.7119584059361068,0.05650023194827563,0.12267115981847629,0.048329772539456375,1.2180524211096473,0.1488555116638155,1.5990278066866568e-05,0.5144140894674414,1.049512529428237,6.723643748698494e-06,0.7562254053350924,28.536786811554528,0.20088002582208772,2.8643835804132298e-05,2.0151098039034557e-05,46.09991225033852,SAC305,SAC205,SAC405
23,0.10931022188152886,0.23790383771561047,0.0012030968540734737,0.07277278802165289,0.10847908404389303,13.046368066751718,4.4209953760013e-06,0.6971753669522708,0.0474803729333154,0.11987925039886421,0.05858256316790822,0.8285137590778384,0.28100962629700543,1.5964254686283654e-05,0.6888751748467015,0.8107651402348824,8.980194658630185e-06,0.6055641118758149,5.577493419143406,0.18825211398958558,2.1905839844735566e-05,2.084146403302229e-05,119.79950176126647,SAC205,SAC405,SAC405
24,-0.26178072321587853,-0.027788637465969743,0.011657510665439387,0.17670667960101524,0.04490555993176517,8.660989852440656,4.904734808146967e-06,0.2778118462993979,0.05797151990490321,0.12019539475165165,0.05560328813212008,1.524816540224892,0.1498823165506868,1.6643555729513222e-05,0.9733274776765315,1.6498341810439068,4.186018386097661e-06,0.7123841895773656,5.234299817178598,0.15621389552448486,2.7200748406485138e-05,2.0821272005736056e-05,54.143217160483694,SAC105,SAC405,SAC305
25,0.009112798681042597,0.0020670966786695815,0.002506061199235222,0.0995445602833338,0.06933458444724738,6.732634674413665,4.929366078319063e-06,0.6889702506770969,0.05654344733837417,0.14604498119973047,0.05807235103475706,1.020031048399308,0.15443750242116205,1.6101198594074962e-05,0.5510786768877083,0.8158887317252616,6.305405372291139e-06,0.6611430229172994,29.526091735162836,0.16125440913019765,2.147049774494363e-05,2.1049895067772112e-05,174.31640552089425,SAC205,SAC105,SAC405
26,0.11377099842399933,0.18561741494143835,0.0013659001281906768,0.05464358317237791,0.11714542278894104,11.142464135561479,4.4445908392781835e-06,0.6987867978864156,0.04588171250085052,0.14327697620540475,0.05803081296932246,0.9386435775136782,0.2912028974191405,1.6659157883662613e-05,0.977245517546694,0.8217058601467362,8.542536583962327e-06,0.646677984059683,6.1760690336870825,0.1658363382920996,2.148908288194793e-05,2.0540358070132023e-05,49.06037742758812,SAC205,SAC405,SAC305
27,0.31339061819888353,-0.0524054233235383,0.0008954291937688743,0.08120519091747726,0.2312180316727609,4.270965737092211,4.448053931169686e-06,0.3312512658700352,0.04217121546717828,0.13648817306037747,0.05998367930243743,0.812354803498133,0.26256240079864657,1.623799659208994e-05,0.7323554366170903,2.0260589432498315,8.795363670520904e-06,0.730765338544495,26.489121061097727,0.16717052163089405,2.148761229611273e-05,2.9663238825187783e-05,117.44047701893949,SAC205,SAC305,SAC405
28,0.11979526939228209,0.03902113051769035,0.004065801272260621,0.05114289948033786,0.15690719037821205,6.233941733370546,4.457899382045489e-06,0.720591797154641,0.04421326267686464,0.11101122515257539,0.059693266292463895,0.7487130914023836,0.29114207019775984,1.6644479814619472e-05,0.5558618454933135,0.9552930807071571,6.478437419551879e-06,0.7935066650329426,29.035965808935575,0.2254733700279727,2.147957380595734e-05,2.9566434212362464e-05,51.074546448415084,SAC105,SAC405,SAC305
29,-0.049839649388614155,0.002304938717787865,0.0071079527638935325,0.08723358130579209,0.08987278500556299,6.290216044277258,4.4568444332473565e-06,0.6981778510165912,0.04121730231412568,0.12170002224450646,0.04859838096434108,1.3866201995257386,0.2893795561425031,1.6254573928049824e-05,0.533817693785316,2.0926282734540287,3.2009323852384645e-06,0.5969815844829097,29.26193326320842,0.18419038787602038,2.22565318205555e-05,2.1338344702512124e-05,169.1785698529952,SAC205,SAC405,SAC305
30,0.018873477205177402,-0.2618135775766154,0.001130009148841869,0.3130574045268198,0.05692274377756959,5.893800009789667,4.930863130304565e-06,0.7119584059361068,0.05650023194827563,0.12267115981847629,0.048587857765403475,1.2180524211096473,0.1488555116638155,1.596603322761997e-05,0.5144140894674414,1.049512529428237,6.723643748698494e-06,0.7391969197483389,28.54210451598936,0.1689069456315432,2.8390445810785644e-05,2.0151098039034557e-05,46.09991225033852,SAC305,SAC205,SAC305
