Sol_Index,RadViz_X,RadViz_Y,Obj_Corner_BGA_DeltaW,Obj_Corner_Bump_DeltaW,Obj_Corner_C4_DeltaW,Obj_Theta_JA, Interposer CTE,Bulk silicon thickness,Bump copper height,Bump pitch,Bump solder height,Heatsink Thermal resistance,Interposer thickness,PCB CTE,PCB k_z,PCB thickness,Substrate core CTE,Substrate core thickness,TIM1 k,TIM1 thk,UF flipchip CTE,UF interposer CTE,interposer k_z,BGA solder,Bump solder,C4 solder
0,0.35563374829502337,-0.0648729154846654,0.0008361553780593599,0.09059799467772253,0.24504532567225396,4.269644157948902,4.182961501907713e-06,0.2626159359505629,0.043708754631425956,0.1268344144980419,0.05866515222926144,0.7972957212559417,0.2929259795489422,1.572374752589538e-05,0.5317264234426575,1.9551378090404645,8.13966435115998e-06,0.7490459453764103,7.502003094554877,0.062280023045108227,2.0873516355376877e-05,2.8037500005440205e-05,45.19739968641882,SAC205,SAC405,SAC305
1,0.04031890028894955,-0.06553654039611186,0.0024800267647205037,0.10149282094789681,0.09092234670068106,4.18641645193464,4.4452297996380034e-06,0.2525034453794091,0.05850824487428543,0.14957235978804076,0.05584609897773998,0.8395883398684276,0.2698571854944412,1.4627328006715309e-05,0.5234703351173822,2.2575756739879402,4.167842259566218e-06,0.41637377338967896,22.50911020778267,0.09383426649670845,2.1488860074591338e-05,2.0449818944887287e-05,41.740773630698065,SAC205,SAC305,SAC305
2,0.16404554464024282,0.07245610672354798,0.003305532457830868,0.030676026584580525,0.1728955053732885,6.304962353203718,4.182332890757675e-06,0.6575077631287701,0.0435237998072235,0.13398937836861538,0.058956784181119395,1.2010424278791292,0.28754160333294004,1.6819610100700564e-05,0.8924974939719782,0.8699209665154356,7.6191136997678534e-06,0.7366137496813068,23.823004142435423,0.13903036911745348,2.0507240863768924e-05,2.766839385674327e-05,44.2104947746752,SAC105,SAC405,SAC305
3,-0.2444658370147678,-0.16516296790275892,0.011794259937463131,0.18794028919293645,0.040936660074628754,4.566159428702246,4.8414548368746735e-06,0.35459352740645367,0.059034693364863625,0.13395719634237546,0.05909157177515021,0.8102267210766217,0.10636257480810227,1.624329765189146e-05,0.5253266729615729,1.2339180419490237,3.3594982601612783e-06,0.7363991111217594,18.498822869042307,0.1231643974575505,2.257475340712692e-05,2.1643907372970278e-05,43.66170937995984,SAC105,SAC105,SAC305
4,0.04560156077021851,0.378908566629489,0.0036454294389280458,0.051609392416059684,0.10032530060249374,13.998491906773237,4.258982319539901e-06,0.7490303291698492,0.044338988173722435,0.13420312624580885,0.05991615162425438,2.1436482213244257,0.2748384688641665,1.6533593828081914e-05,0.9359042091434562,0.8755800723375599,7.4588308552876146e-06,0.5960785227688064,5.17052542476995,0.09298971605891648,2.0820320234127573e-05,2.193646583259485e-05,80.23322170118577,SAC105,SAC105,SAC305
5,0.12182469645301387,-0.3701527010544086,0.0007904297012197869,0.3462755387214321,0.10748770034680746,4.3621546922936645,4.836520597313147e-06,0.2598078334504337,0.05654285925270131,0.1237223679990407,0.05884200138552383,0.8105240048593455,0.11999018834928381,1.5834375189176112e-05,0.8939144031668488,2.00055711450323,8.081905077551613e-06,0.7838510375476958,21.349509591206083,0.1329466376745234,2.872695085893399e-05,2.118807733752873e-05,40.09922719426538,SAC405,SAC205,SAC405
6,-0.23984326249621268,-0.053142965154663165,0.01698751112879106,0.07448309899121537,0.12578605823829983,4.278080018308781,4.185219680806812e-06,0.39212587337336935,0.04427587739820396,0.13785012392673143,0.0599849122499536,0.8279585346483331,0.27222572847230964,1.6812641575307334e-05,0.5564387632778315,1.9905264498270179,4.153909150766136e-06,0.7165191271152804,9.329099929761984,0.05375244456526967,2.0895482695832353e-05,2.2666597704894448e-05,51.73000392693189,SAC105,SAC405,SAC305
7,0.10117464039106673,-0.1320515970995282,0.0007444378461959132,0.17264722998783966,0.10699976954224971,4.455283812288937,4.86874551099529e-06,0.26553033157387484,0.05876984330775535,0.13405338774659853,0.059524248186339376,0.809108876767906,0.26853359398290905,1.5978184437395436e-05,0.9542474492523578,1.037951974244714,7.92756954099402e-06,0.6374981616838334,7.865395971551952,0.06174169681707058,2.7653558372278587e-05,2.4398319708844084e-05,45.20992354615147,SAC305,SAC105,SAC405
8,-0.01069167771206174,0.04512130119894725,0.002207159785867798,0.25222854483872653,0.054220437477213244,12.108538706165568,4.925606450796387e-06,0.39094664089299,0.0578001659001965,0.10786269515760982,0.05527784793052564,0.8249178136321453,0.11117667498395259,1.6307802221023268e-05,0.9184849254816347,0.9500632003598878,7.47778652050747e-06,0.7215640492528106,7.3358977331393165,0.12761381561259588,2.8337605703761185e-05,2.1734619149046793e-05,88.35088123003882,SAC205,SAC105,SAC405
9,0.08533415414069095,-0.06944583653672212,0.009305904815982988,0.08712954709306368,0.19289178653309744,4.205617154914305,4.445996756212646e-06,0.2561950489865616,0.055404136530198086,0.14956882222402496,0.055095578907008676,0.906999978512335,0.2698571854944412,1.4645283903794441e-05,0.5387513229628097,2.2575756739879402,4.240443918134785e-06,0.4216230821610479,11.07418138790252,0.09178479523332263,2.1489382748009e-05,2.805646531276458e-05,41.740773630698065,SAC105,SAC405,SAC305
